id,organization
594,영도구평생학습관
595,영도구평생학습관
596,영도구평생학습관
597,북구평생학습관
598,서구평생학습관
599,북구평생학습관
600,서구평생학습관
601,부산진구평생학습관
602,서구평생학습관
603,영도구평생학습관
604,중구평생학습관
605,북구평생학습관
606,해운대구 평생학습관
607,영도구평생학습관
608,해운대구 평생학습관
609,해운대구 평생학습관
610,영도구평생학습관
611,영도구평생학습관
612,영도구평생학습관
613,해운대구 평생학습관
614,북구평생학습관
615,북구평생학습관
616,사하구평생학습관
617,북구평생학습관
618,영도구평생학습관
619,서구평생학습관
620,서구평생학습관
621,북구평생학습관
622,해운대구 평생학습관
623,해운대구 평생학습관
624,부산진구평생학습관
625,부산진구평생학습관
626,부산진구평생학습관
627,부산진구평생학습관
628,부산진구평생학습관
